amount,amount_to_avg_ratio,hour,late_night,is_online,distance_from_home_km,txns_last_hour,merchant_category,account_age_days,prior_disputes,is_fraud
6.49,0.384,10,0,1,33.8,2,dining,3489,0,0
40.76,0.812,3,1,1,23.3,0,cash_advance,2081,0,0
25.77,0.867,13,0,1,31.5,2,grocery,917,0,0
25.62,1.339,7,0,0,28.7,1,grocery,1225,0,0
82.98,1.905,1,1,0,43.6,1,gas,1903,0,0
66.48,2.755,5,1,1,8.4,2,gas,3586,0,0
6.86,0.267,3,1,1,9.2,0,electronics,3599,1,0
72.48,1.105,21,0,1,37.4,1,dining,2834,0,0
22.33,0.32,14,0,1,17.3,0,gas,2922,1,0
9.77,0.299,9,0,0,9.5,0,electronics,3583,1,0
11.73,0.503,18,0,0,1.2,0,gas,2478,0,0
20.4,0.411,17,0,1,3.3,1,dining,2343,0,0
76.7,2.283,12,0,1,57.7,0,grocery,902,1,0
22.09,1.056,22,0,0,0.2,0,dining,364,0,0
66.95,1.432,8,0,0,36.4,1,grocery,475,0,0
17.21,0.668,9,0,1,86.0,1,dining,2809,0,0
42.03,1.113,20,0,0,2.4,0,dining,1975,1,0
120.17,2.858,1,1,0,18.1,0,online_retail,1106,0,0
59.26,1.232,19,0,1,67.2,2,online_retail,1872,0,0
33.11,1.014,5,1,1,30.6,0,online_retail,2878,0,0
24.98,0.665,18,0,1,27.0,0,grocery,2466,0,0
19.16,0.835,6,0,0,7.8,0,gas,200,0,0
34.72,0.398,1,1,1,57.1,0,travel,3140,0,0
88.44,4.838,6,0,0,6.0,8,cash_advance,1951,0,1
39.11,1.22,11,0,1,42.9,0,grocery,586,0,0
70.7,3.517,15,0,0,3.9,0,grocery,1298,0,0
12.39,0.43,2,1,1,77.5,1,cash_advance,3416,1,0
33.97,1.242,18,0,0,14.2,2,gas,1617,0,0
222.05,5.232,18,0,1,14.6,4,gas,2721,0,0
7.83,0.204,12,0,0,2.0,0,grocery,2121,0,0
28.49,1.078,2,1,1,34.1,2,travel,3082,1,0
46.25,1.217,8,0,0,9.7,0,cash_advance,2929,0,0
15.44,0.526,8,0,1,51.8,0,dining,891,0,0
68.43,0.983,21,0,0,5.4,8,gas,2321,0,0
31.12,0.701,17,0,0,1.2,2,online_retail,253,0,0
6.82,0.177,8,0,1,38.1,0,gas,1644,0,0
9.37,0.202,23,1,0,15.8,1,cash_advance,3463,0,0
30.34,1.791,3,1,0,8.1,0,travel,1167,0,0
