amount,amount_to_avg_ratio,hour,late_night,is_online,distance_from_home_km,txns_last_hour,merchant_category,account_age_days,prior_disputes,is_fraud
4.24,0.157,3,1,0,22.1,0,grocery,1176,0,0
12.03,0.336,3,1,1,55.6,2,dining,2398,0,0
18.19,1.199,19,0,1,53.0,0,travel,295,1,0
23.44,0.606,11,0,0,0.9,1,dining,1104,0,0
7.64,0.126,14,0,1,53.3,2,grocery,3197,1,0
18.71,0.641,14,0,0,7.0,1,dining,1152,0,0
29.75,1.327,17,0,0,0.3,0,online_retail,1834,0,0
57.0,2.882,0,1,1,20.4,0,online_retail,443,0,0
28.91,1.333,11,0,1,100.1,0,grocery,1200,0,0
14.27,0.36,3,1,0,26.4,1,gambling,993,0,0
13.86,0.36,9,0,0,12.5,0,grocery,3129,0,0
6.72,0.253,22,0,0,20.9,0,travel,3122,0,0
40.33,1.084,13,0,0,6.6,1,grocery,2008,0,0
67.54,1.215,1,1,0,3.2,0,dining,2810,0,0
54.91,1.889,13,0,1,101.0,0,grocery,2366,0,0
105.47,3.975,3,1,0,8.6,3,online_retail,631,0,0
67.84,4.945,18,0,1,22.2,2,grocery,256,0,1
11.39,0.487,22,0,0,5.7,0,gas,1030,0,0
28.84,0.598,23,1,1,46.1,0,travel,2542,1,0
30.89,0.87,14,0,0,28.7,0,dining,113,0,0
24.66,0.887,20,0,1,35.0,0,online_retail,3567,0,0
9.65,0.342,8,0,0,24.6,0,grocery,1384,0,0
16.79,0.295,3,1,1,25.2,1,dining,510,0,0
16.68,0.172,12,0,0,28.1,0,gas,799,0,0
72.27,1.925,10,0,1,60.6,1,dining,1284,1,0
7.24,0.267,15,0,0,19.5,1,travel,118,0,0
62.08,1.739,23,1,0,3.7,0,electronics,1556,0,0
21.17,0.285,6,0,1,69.7,1,dining,612,0,0
7.41,0.346,20,0,1,21.0,2,gas,3327,0,0
23.31,0.696,3,1,0,22.1,1,grocery,1480,0,0
51.35,0.677,8,0,0,0.0,0,dining,1036,0,0
32.91,0.704,18,0,1,64.5,0,grocery,929,0,0
121.8,3.563,5,1,0,1.6,0,dining,2747,0,0
31.23,0.867,16,0,0,15.2,1,online_retail,2142,0,0
