amount,amount_to_avg_ratio,hour,late_night,is_online,distance_from_home_km,txns_last_hour,merchant_category,account_age_days,prior_disputes,is_fraud,fraud_score
528.11,22.124,0,1,1,123.7,0,electronics,925,0,1,0.9991981286132641
403.19,36.323,15,0,0,1.2,2,gas,909,0,1,0.9990514497177512
320.76,14.365,3,1,1,126.8,2,grocery,1582,0,1,0.9983123639970172
241.55,16.039,20,0,1,73.3,1,gambling,2856,0,1,0.9981729488756463
329.22,11.183,9,0,1,113.6,0,dining,36,0,1,0.9979754127208391
336.9,11.985,11,0,1,109.9,1,online_retail,61,0,1,0.9979072651147544
363.63,12.227,18,0,1,124.8,1,online_retail,1784,0,1,0.9978394553742541
1061.45,38.264,8,0,1,32.2,2,cash_advance,1166,0,1,0.997801792850496
487.33,10.455,20,0,1,121.3,0,electronics,2605,0,1,0.997706460274763
238.04,13.13,5,1,1,78.1,4,online_retail,861,0,1,0.9975977333378702
229.75,11.158,7,0,1,49.5,0,gambling,374,1,1,0.9970832477310664
297.28,14.313,16,0,1,25.4,0,cash_advance,1368,0,1,0.9969510587955225
